CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,PreviousName_3.CONDATE, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName,ConfStmtNextDueDate, ConfStmtLastMadeUpDate
FOUNDRY HEALTHCARE LTD,11350745,"","",SCHOOL HILL HOUSE,33 HIGH STREET,LEWES,EAST SUSSEX,UNITED KINGDOM,BN7 2LU,Private Limited Company,Active,United Kingdom,"",09/05/2018,31,5,28/02/2023,31/05/2021,DORMANT,06/06/2019,"",0,0,0,0,"84120 - Regulation of health care, education, cultural and other social services, not incl. social security","","","",0,0,http://business.data.gov.uk/id/company/11350745,"","","","","","","","","","","","","","","","","","","","",22/05/2022,08/05/2021
FOUNDRY HILL LTD,08266458,"","",LANG BENNETTS THE OLD CARRIAGE WORKS,MORESK ROAD,TRURO,CORNWALL,ENGLAND,TR1 1DG,Private Limited Company,Active,United Kingdom,"",24/10/2012,31,8,31/05/2023,31/08/2021,TOTAL EXEMPTION FULL,21/11/2016,24/10/2015,0,0,0,0,90030 - Artistic creation,"","","",0,0,http://business.data.gov.uk/id/company/08266458,"","","","","","","","","","","","","","","","","","","","",07/11/2022,24/10/2021
FOUNDRY HOLDING COMPANY. LIMITED,13135338,"","",51 WELBECK STREET,"",LONDON,"",UNITED KINGDOM,W1G 9HL,Private Limited Company,Active,United Kingdom,"",14/01/2021,31,3,14/10/2022,"",NO ACCOUNTS FILED,11/02/2022,"",0,0,0,0,68100 - Buying and selling of own real estate,"","","",0,0,http://business.data.gov.uk/id/company/13135338,"","","","","","","","","","","","","","","","","","","","",27/01/2022,""
FOUNDRY HOUSE (FREEHOLD) LIMITED,03121146,"","",RMG HOUSE,ESSEX ROAD,HODDESDON,HERTFORDSHIRE,"",EN11 0DR,Private Limited Company,Active,United Kingdom,"",02/11/1995,30,11,31/08/2022,30/11/2020,TOTAL EXEMPTION FULL,04/11/2016,07/10/2015,3,3,0,0,98000 - Residents property management,"","","",0,0,http://business.data.gov.uk/id/company/03121146,"","","","","","","","","","","","","","","","","","","","",28/05/2022,14/05/2021
FOUNDRY HOUSE (HUNGERFORD) MANAGEMENT COMPANY LIMITED,02835141,"","",118 BARTHOLOMEW STREET,"",NEWBURY,BERKSHIRE,"",RG14 5DT,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,"",12/07/1993,31,12,30/09/2022,31/12/2020,MICRO ENTITY,09/08/2016,12/07/2015,0,0,0,0,98000 - Residents property management,"","","",0,0,http://business.data.gov.uk/id/company/02835141,"","","","","","","","","","","","","","","","","","","","",26/07/2022,12/07/2021
FOUNDRY HOUSE MANAGEMENT COMPANY LIMITED,08927111,"","",DANIELL HOUSE,FALMOUTH ROAD,TRURO,CORNWALL,ENGLAND,TR1 2HX,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,"",06/03/2014,31,3,31/12/2022,31/03/2021,MICRO ENTITY,03/04/2017,06/03/2016,0,0,0,0,98000 - Residents property management,"","","",0,0,http://business.data.gov.uk/id/company/08927111,"","","","","","","","","","","","","","","","","","","","",20/03/2022,06/03/2021
FOUNDRY HULL II LIMITED,11380318,"","",C/O MICHAEL HEAVEN & ASSOCIATES LIMITED 47 CALTHORPE ROAD,EDGBASTON,BIRMINGHAM,WEST MIDLANDS,UNITED KINGDOM,B15 1TH,Private Limited Company,Active,United Kingdom,"",24/05/2018,30,4,31/01/2023,30/04/2021,UNAUDITED ABRIDGED,21/06/2019,"",4,4,0,0,68100 - Buying and selling of own real estate,68209 - Other letting and operating of own or leased real estate,"","",0,0,http://business.data.gov.uk/id/company/11380318,"","","","","","","","","","","","","","","","","","","","",24/07/2022,10/07/2021
FOUNDRY HYDRAULIC SERVICES LIMITED,01970733,"","",12 THE DEMESNE,NORTH SEATON VILLAGE,ASHINGTON,NORTHUMBERLAND,"",NE63 9TW,Private Limited Company,Active,United Kingdom,"",12/12/1985,31,5,28/02/2022,31/05/2020,MICRO ENTITY,13/01/2017,16/12/2015,0,0,0,0,71129 - Other engineering activities,"","","",0,0,http://business.data.gov.uk/id/company/01970733,"","","","","","","","","","","","","","","","","","","","",30/12/2022,16/12/2021
FOUNDRY INNS LIMITED,11485042,"","",VIRTUOSI HOUSE UNIT 1 FOCUS BUSINESS PARK,"BUNNS BANK, OLD BUCKENHAM",ATTLEBOROUGH,NORFOLK,ENGLAND,NR17 1GY,Private Limited Company,Active,United Kingdom,"",26/07/2018,31,7,30/04/2022,31/07/2020,TOTAL EXEMPTION FULL,23/08/2019,"",0,0,0,0,56101 - Licensed restaurants,"","","",0,0,http://business.data.gov.uk/id/company/11485042,"","","","","","","","","","","","","","","","","","","","",08/08/2022,25/07/2021
FOUNDRY INVESTMENTS LIMITED,SC648255,"","",272 BATH STREET,"",GLASGOW,"",SCOTLAND,G2 4JR,Private Limited Company,Active,United Kingdom,"",27/11/2019,30,11,31/08/2022,30/11/2020,MICRO ENTITY,25/12/2020,"",0,0,0,0,68209 - Other letting and operating of own or leased real estate,"","","",0,0,http://business.data.gov.uk/id/company/SC648255,"","","","","","","","","","","","","","","","","","","","",10/12/2022,26/11/2021
FOUNDRY IP LIMITED,12520003,"","",90 DOUGLAS ROAD,LONG EATON,NOTTINGHAM,"",UNITED KINGDOM,NG10 4BD,Private Limited Company,Active,United Kingdom,"",16/03/2020,31,8,31/05/2023,31/08/2021,MICRO ENTITY,13/04/2021,"",0,0,0,0,62090 - Other information technology service activities,"","","",0,0,http://business.data.gov.uk/id/company/12520003,"","","","","","","","","","","","","","","","","","","","",29/03/2022,15/03/2021
